"Results","Z"
-30197.1288168951,-0.932903910623775
-30648.1376141948,-1.90595900302149
-31047.290630153,-2.76713483185132
-30609.0627480065,-1.82165466626156
-30336.9646071294,-1.23460074802829
-30422.8741428593,-1.41995125943308
-31521.7058156082,-3.79068939416134
-30197.1288168951,-0.932903910623775
-30648.1376141948,-1.90595900302149
-31047.290630153,-2.76713483185132
-30609.0627480065,-1.82165466626156
-30336.9646071294,-1.23460074802829
-30422.8741428593,-1.41995125943308
-31521.7058156082,-3.79068939416134
-30197.1288168951,-0.932903910623775
-30648.1376141948,-1.90595900302149
-31047.290630153,-2.76713483185132
-30609.0627480065,-1.82165466626156
-30336.9646071294,-1.23460074802829
-30422.8741428593,-1.41995125943308
-31521.7058156082,-3.79068939416134
